id,code,uic,naam,middel_naam,korte_naam,friendly,land,type,geo_lat,geo_lng
368,obd,8400480,Obdam,Obdam,Obdam,obdam,NL,stoptreinstation,52.67805481,4.907222271
380,ot,8400482,Oisterwijk,Oisterwijk,Oisterwijk,oisterwijk,NL,stoptreinstation,51.58222198,5.19416666
372,odz,8400483,Oldenzaal,Oldenzaal,Oldenzaal,oldenzaal,NL,stoptreinstation,52.30638885,6.934722424
379,ost,8400486,Olst,Olst,Olst,olst,NL,stoptreinstation,52.33472061,6.113055706
376,omn,8400487,Ommen,Ommen,Ommen,ommen,NL,knooppuntsneltreinstation,52.50944519,6.415833473
381,otb,8400489,Oosterbeek,Oosterbeek,Oosterbeek,oosterbeek,NL,stoptreinstation,51.99499893,5.840000153
377,op,8400494,Opheusden,Opheusden,Opheusden,opheusden,NL,stoptreinstation,51.9261615,5.6371145
367,o,8400495,Oss,Oss,Oss,oss,NL,knooppuntintercitystation,51.76555634,5.532222271
383,ow,8400496,Oss West,Oss West,Oss W,oss-west,NL,stoptreinstation,51.75805664,5.50555563
371,odb,8400498,Oudenbosch,Oudenbosch,Oudenbosch,oudenbosch,NL,stoptreinstation,51.58777618,4.533333302
382,ovn,8400501,Overveen,Overveen,Overveen,overveen,NL,stoptreinstation,52.39110947,4.60611105
388,pmr,8400508,Purmerend,Purmerend,Purmerend,purmerend,NL,knooppuntstoptreinstation,52.50305557,4.953610897
387,pmo,8400506,Purmerend Overwhere,Overwhere,Overwhere,purmerend-overwhere,NL,stoptreinstation,52.51139069,4.968333244
389,pmw,8400499,Purmerend Weidevenne,Weidevenne,Weidevenne,purmerend-weidevenne,NL,stoptreinstation,52.49659063,4.935629368
391,pt,8400509,Putten,Putten,Putten,putten,NL,stoptreinstation,52.26499939,5.575277805
394,rat,8400513,Raalte,Raalte,Raalte,raalte,NL,stoptreinstation,52.39166641,6.277500153
416,rvs,8400515,Ravenstein,Ravenstein,Ravenstein,ravenstein,NL,stoptreinstation,51.79416656,5.635833263
415,rv,8400518,Reuver,Reuver,Reuver,reuver,NL,stoptreinstation,51.28321917,6.078958511
397,rh,8400519,Rheden,Rheden,Rheden,rheden,NL,stoptreinstation,52.00999832,6.030555725
399,rhn,8400517,Rhenen,Rhenen,Rhenen,rhenen,NL,knooppuntstoptreinstation,51.95861053,5.578333378
406,rsn,8400538,Rijssen,Rijssen,Rijssen,rijssen,NL,stoptreinstation,52.31222153,6.520277977
407,rsw,8400505,Rijswijk,Rijswijk,Rijswijk,rijswijk,NL,stoptreinstation,52.03972244,4.31916666
395,rb,8400521,Rilland-Bath,Rilland-Bath,Rilland-B,rilland-bath,NL,stoptreinstation,51.42277908,4.161110878
402,rm,8400523,Roermond,Roermond,Roermond,roermond,NL,knooppuntintercitystation,51.1930542,5.994166851
396,rd,8400525,Roodeschool,Roodeschool,Roodesch,roodeschool,NL,stoptreinstation,53.4192128,6.7606167
405,rsd,8400526,Roosendaal,Roosendaal,Roosendaal,roosendaal,NL,knooppuntintercitystation,51.54027939,4.458333492
404,rs,8400524,Rosmalen,Rosmalen,Rosmalen,rosmalen,NL,stoptreinstation,51.71472168,5.368055344
409,rta,8400507,Rotterdam Alexander,Alexander,Alexander,rotterdam-alexander,NL,intercitystation,51.95194626,4.553611279
410,rtb,8400529,Rotterdam Blaak,Rotterdam Blaak,Blaak,rotterdam-blaak,NL,intercitystation,51.92027664,4.488888741
411,rtd,8400530,Rotterdam Centraal,Rotterdam C.,R'dam C,rotterdam-centraal,NL,megastation,51.92499924,4.46888876
401,rlb,8400542,Rotterdam Lombardijen,Lombardijen,Lombardije,rotterdam-lombardijen,NL,stoptreinstation,51.88000107,4.53138876
412,rtn,8400531,Rotterdam Noord,Rotterdam Noord,R'dam N,rotterdam-noord,NL,stoptreinstation,51.9422226,4.481666565
413,rtst,8400534,Rotterdam Stadion,R'dam Stadion,R'dam Sta,rotterdam-stadion,NL,facultatiefstation,51.89389038,4.519721985
414,rtz,8400533,Rotterdam Zuid,Rotterdam Zuid,R'dam Z,rotterdam-zuid,NL,stoptreinstation,51.90444565,4.510277748
400,rl,8400537,Ruurlo,Ruurlo,Ruurlo,ruurlo,NL,stoptreinstation,52.0810888,6.4492656
435,sptn,8400543,Santpoort Noord,Santpoort Noord,Santprt N,santpoort-noord,NL,stoptreinstation,52.43388748,4.632500172
436,sptz,8400544,Santpoort Zuid,Santpoort Zuid,Santprt Z,santpoort-zuid,NL,stoptreinstation,52.41972351,4.631388664
434,spm,8400545,Sappemeer Oost,Sappemeer Oost,Sappemr O,sappemeer-oost,NL,stoptreinstation,53.1589183,6.7955648
544,ssh,8400603,Sassenheim,Sassenheim,Sassenheim,sassenheim,NL,stoptreinstation,52.215278,4.517222
449,swd,8400547,Sauwerd,Sauwerd,Sauwerd,sauwerd,NL,stoptreinstation,53.29113,6.5404
427,sgn,8400549,Schagen,Schagen,Schagen,schagen,NL,stoptreinstation,52.7844429,4.805277824
421,sda,8400551,Scheemda,Scheemda,Scheemda,scheemda,NL,stoptreinstation,53.1655362,6.9777775
422,sdm,8400553,Schiedam Centrum,Schiedam C.,Schiedam C,schiedam-centrum,NL,intercitystation,51.92124381,4.408993721
366,nwl,8400563,Schiedam Nieuwland,Nieuwland,Nieuwland,schiedam-nieuwland,NL,stoptreinstation,51.92222214,4.382222176
433,sog,8400555,Schin op Geul,Schin op Geul,Schin op G,schin-op-geul,NL,stoptreinstation,50.85638809,5.872222424
432,sn,8400554,Schinnen,Schinnen,Schinnen,schinnen,NL,stoptreinstation,50.93916702,5.874444485
428,shl,8400561,Schiphol,Schiphol,Schiphol,schiphol,NL,megastation,52.30944443,4.761944294
650,spv,8400559,Simpelveld,Simpelveld,Simpelveld,simpelveld,NL,facultatiefstation,50.83147507,5.979738235
440,std,8400564,Sittard,Sittard,Sittard,sittard,NL,knooppuntintercitystation,51.00166702,5.858611107
423,sdt,8400565,Sliedrecht,Sliedrecht,Sliedrecht,sliedrecht,NL,stoptreinstation,51.82972336,4.778333187
548,sdtb,8400497,Sliedrecht Baanhoek,Baanhoek,Baanhoek,sliedrecht-baanhoek,NL,stoptreinstation,51.829722,4.743333
429,sk,8400566,Sneek,Sneek,Sneek,sneek,NL,knooppuntstoptreinstation,53.0328688,5.6523969
430,sknd,8400574,Sneek Noord,Sneek Noord,Sneek N,sneek-noord,NL,stoptreinstation,53.0409319,5.6631808
438,st,8400567,Soest,Soest,Soest,soest,NL,knooppuntstoptreinstation,52.17333221,5.309999943
448,stz,8400571,Soest Zuid,Soest Zuid,Soest Z,soest-zuid,NL,stoptreinstation,52.16527939,5.303055763
420,sd,8400569,Soestdijk,Soestdijk,Soestdijk,soestdijk,NL,stoptreinstation,52.18361282,5.300000191
417,sbk,8400572,Spaubeek,Spaubeek,Spaubeek,spaubeek,NL,stoptreinstation,50.9430542,5.851666451
694,sph,8400670,Spekholzerheide,Spekholzerheide,Spekholzer,spekholzerheide,NL,facultatiefstation,50.85355,6.02578
447,stv,8400575,Stavoren,Stavoren,Stavoren,stavoren,NL,stoptreinstation,52.8865535,5.3600212
442,stm,8400576,Stedum,Stedum,Stedum,stedum,NL,stoptreinstation,53.3262092,6.6875551
450,swk,8400578,Steenwijk,Steenwijk,Steenwijk,steenwijk,NL,intercitystation,52.79151099,6.114555763
437,srn,8400582,Susteren,Susteren,Susteren,susteren,NL,stoptreinstation,51.06138992,5.863055706
431,sm,8400583,Swalmen,Swalmen,Swalmen,swalmen,NL,stoptreinstation,51.23582,6.03228
457,tg,8400591,Tegelen,Tegelen,Tegelen,tegelen,NL,stoptreinstation,51.33894,6.14253
454,tbg,8400592,Terborg,Terborg,Terborg,terborg,NL,stoptreinstation,51.9224549,6.3642466
458,tl,8400596,Tiel,Tiel,Tiel,tiel,NL,knooppuntstoptreinstation,51.88944626,5.422222137
459,tpsw,8400600,Tiel Passewaaij,Tiel Passewaaij,Passewaaij,tiel-passewaaij,NL,stoptreinstation,51.87388992,5.392222404
453,tb,8400597,Tilburg,Tilburg,Tilburg,tilburg,NL,knooppuntintercitystation,51.5605545,5.083611012
455,tbr,8400598,Tilburg Reeshof,Tilburg Reeshof,Reeshof,tilburg-reeshof,NL,stoptreinstation,51.57361221,4.99444437
456,tbu,8400594,Tilburg Universiteit,Tilburg Univers.,Tilburg U,tilburg-universiteit,NL,stoptreinstation,51.56499863,5.051111221
460,twl,8400599,Twello,Twello,Twello,twello,NL,stoptreinstation,52.23777771,6.098610878
468,utg,8400615,Uitgeest,Uitgeest,Uitgeest,uitgeest,NL,knooppuntstoptreinstation,52.52166748,4.701666832
462,uhz,8400617,Uithuizen,Uithuizen,Uithuizen,uithuizen,NL,stoptreinstation,53.4099568,6.6748869
461,uhm,8400618,Uithuizermeeden,Uithuizermeeden,Uithuizerm,uithuizermeeden,NL,stoptreinstation,53.4145845,6.7202975
465,ust,8400619,Usquert,Usquert,Usquert,usquert,NL,stoptreinstation,53.4014742,6.6093776
467,ut,8400621,Utrecht Centraal,Utrecht C.,Utrecht C,utrecht-centraal,NL,megastation,52.08889008,5.110277653
718,utlr,8400607,Utrecht Leidsche Rijn,Leidsche Rijn,Leidsche R,utrecht-leidsche-rijn,NL,stoptreinstation,52.09896,5.06523
469,utl,8400623,Utrecht Lunetten,Utrecht Lunetten,Lunetten,utrecht-lunetten,NL,stoptreinstation,52.06555557,5.14416647
470,utm,8400624,Utrecht Maliebaan,Maliebaan,Maliebaan,utrecht-maliebaan,NL,stoptreinstation,52.08777618,5.131388664
471,uto,8400620,Utrecht Overvecht,Overvecht,Overvecht,utrecht-overvecht,NL,knooppuntstoptreinstation,52.11000061,5.124722004
472,utt,8400614,Utrecht Terwijde,Utrecht Terwijde,Terwijde,utrecht-terwijde,NL,stoptreinstation,52.10055542,5.041666508
473,utzl,8400613,Utrecht Zuilen,Utrecht Zuilen,Zuilen,utrecht-zuilen,NL,stoptreinstation,52.103055,5.09
486,vk,8400632,Valkenburg,Valkenburg,Valkenburg,valkenburg,NL,knooppuntsneltreinstation,50.86972046,5.832221985
496,vsv,8400635,Varsseveld,Varsseveld,Varsseveld,varsseveld,NL,stoptreinstation,51.937257,6.458839
543,vdm,8400636,Veendam,Veendam,Veendam,veendam,NL,knooppuntstoptreinstation,53.10324,6.88475
489,vndc,8400627,Veenendaal Centrum,Veenendaal C.,Veenendl C,veenendaal-centrum,NL,knooppuntstoptreinstation,52.02000046,5.548611164
490,vndw,8400628,Veenendaal West,Veenendaal West,Veenendl W,veenendaal-west,NL,stoptreinstation,52.0280571,5.53138876
285,klp,8400637,Veenendaal-De Klomp,De Klomp,De Klomp,veenendaal-de-klomp,NL,stoptreinstation,52.04583359,5.573888779
498,vwd,8400638,Veenwouden,Veenwouden,Veenwouden,veenwouden,NL,stoptreinstation,53.2351834,5.9886615
491,vp,8400640,Velp,Velp,Velp,velp,NL,stoptreinstation,51.99472046,5.980278015
487,vl,8400644,Venlo,Venlo,Venlo,venlo,NL,knooppuntintercitystation,51.36360931,6.172777653
492,vry,8400646,Venray,Venray,Venray,venray,NL,knooppuntstoptreinstation,51.5265681,6.014177799
488,vlb,8400647,Vierlingsbeek,Vierlingsbeek,Vierlingsb,vierlingsbeek,NL,stoptreinstation,51.59193,5.99714
477,vdg,8400650,Vlaardingen Centrum,Vlaardingen C.,Vlaard C,vlaardingen-centrum,NL,knooppuntstoptreinstation,51.9030571,4.344166756
479,vdo,8400649,Vlaardingen Oost,Vlaardingen Oost,Vlaard O,vlaardingen-oost,NL,stoptreinstation,51.91027832,4.361666679
480,vdw,8400642,Vlaardingen West,Vlaardingen West,Vlaard W,vlaardingen-west,NL,stoptreinstation,51.90416718,4.313055515
497,vtn,8400651,Vleuten,Vleuten,Vleuten,vleuten,NL,stoptreinstation,52.10305405,5.010833263
493,vs,8400652,Vlissingen,Vlissingen,Vlissingen,vlissingen,NL,knooppuntintercitystation,51.44583511,3.595277786
494,vss,8400653,Vlissingen Souburg,Souburg,Souburg,vlissingen-souburg,NL,stoptreinstation,51.46472168,3.595277786
478,vdl,8400656,Voerendaal,Voerendaal,Voerendaal,voerendaal,NL,stoptreinstation,50.88722229,5.930277824
475,vb,8400658,Voorburg,Voorburg,Voorburg,voorburg,NL,stoptreinstation,52.06666565,4.359444618
483,vh,8400655,Voorhout,Voorhout,Voorhout,voorhout,NL,stoptreinstation,52.22444534,4.484444618
495,vst,8400659,Voorschoten,Voorschoten,Voorschtn,voorschoten,NL,stoptreinstation,52.12527847,4.432499886
481,vem,8400668,Voorst-Empe,Voorst-Empe,Voorst-E,voorst-empe,NL,stoptreinstation,52.15750122,6.143610954
476,vd,8400661,Vorden,Vorden,Vorden,vorden,NL,stoptreinstation,52.1071949,6.3170457
499,vz,8400664,Vriezenveen,Vriezenveen,Vriezenvn,vriezenveen,NL,stoptreinstation,52.40203,6.60041
484,vhp,8400666,Vroomshoop,Vroomshoop,Vroomshoop,vroomshoop,NL,stoptreinstation,52.4571921,6.5696679
482,vg,8400667,Vught,Vught,Vught,vught,NL,stoptreinstation,51.65555573,5.291944504
500,wad,8400675,Waddinxveen,Waddinxveen,Waddinxv,waddinxveen,NL,stoptreinstation,52.04416656,4.649722099
501,wadn,8400674,Waddinxveen Noord,Waddinxveen N.,Waddinxv N,waddinxveen-noord,NL,stoptreinstation,52.05500031,4.648333549
506,wfm,8400679,Warffum,Warffum,Warffum,warffum,NL,stoptreinstation,53.3908431,6.5671364
517,wt,8400684,Weert,Weert,Weert,weert,NL,intercitystation,51.24861145,5.703610897
513,wp,8400685,Weesp,Weesp,Weesp,weesp,NL,knooppuntstoptreinstation,52.31277847,5.043055534
510,wl,8400686,Wehl,Wehl,Wehl,wehl,NL,stoptreinstation,51.9578065,6.213844
545,wtv,8400688,Westervoort,Westervoort,Westervrt,westervoort,NL,stoptreinstation,51.96286,5.9695
524,wz,8400690,Wezep,Wezep,Wezep,wezep,NL,stoptreinstation,52.45416641,6.002500057
504,wdn,8400691,Wierden,Wierden,Wierden,wierden,NL,knooppuntstoptreinstation,52.36138916,6.591666698
502,wc,8400710,Wijchen,Wijchen,Wijchen,wijchen,NL,stoptreinstation,51.8116684,5.73083353
507,wh,8400711,Wijhe,Wijhe,Wijhe,wijhe,NL,stoptreinstation,52.39027786,6.140555382
515,ws,8400696,Winschoten,Winschoten,Winschoten,winschoten,NL,knooppuntstoptreinstation,53.1392377,7.035101
516,wsm,8400697,Winsum,Winsum,Winsum,winsum,NL,stoptreinstation,53.3300994,6.5202905
522,ww,8400698,Winterswijk,Winterswijk,Winterswk,winterswijk,NL,knooppuntstoptreinstation,51.9677307,6.7155181
523,www,8400700,Winterswijk West,Winterswijk West,Wintersw W,winterswijk-west,NL,stoptreinstation,51.97453,6.70417
503,wd,8400702,Woerden,Woerden,Woerden,woerden,NL,knooppuntstoptreinstation,52.08499908,4.893610954
505,wf,8400704,Wolfheze,Wolfheze,Wolfheze,wolfheze,NL,stoptreinstation,52.0055542,5.79361105
521,wv,8400705,Wolvega,Wolvega,Wolvega,wolvega,NL,stoptreinstation,52.88083267,6.003611088
509,wk,8400706,Workum,Workum,Workum,workum,NL,stoptreinstation,52.9724864,5.4564285
511,wm,8400707,Wormerveer,Wormerveer,Wormerveer,wormerveer,NL,stoptreinstation,52.48916626,4.792222023
529,zd,8400731,Zaandam,Zaandam,Zaandam,zaandam,NL,knooppuntintercitystation,52.43888855,4.813611031
530,zdk,8400728,Zaandam Kogerveld,Kogerveld,Kogerveld,zaandam-kogerveld,NL,stoptreinstation,52.45666504,4.820277691
528,zbm,8400732,Zaltbommel,Zaltbommel,Zaltbommel,zaltbommel,NL,stoptreinstation,51.80888748,5.263333321
540,zvt,8400733,Zandvoort aan Zee,Zandvoort a Zee,Zandvoort,zandvoort-aan-zee,NL,stoptreinstation,52.37527847,4.532777786
526,za,8400734,Zetten-Andelst,Zetten-Andelst,Zetten-A,zetten-andelst,NL,stoptreinstation,51.920056,5.7228408
538,zv,8400735,Zevenaar,Zevenaar,Zevenaar,zevenaar,NL,knooppuntstoptreinstation,51.92305374,6.071944237
539,zvb,8400737,Zevenbergen,Zevenbergen,Zevenbergn,zevenbergen,NL,stoptreinstation,51.64042,4.60904
535,ztm,8400741,Zoetermeer,Zoetermeer,Zoetermeer,zoetermeer,NL,knooppuntstoptreinstation,52.04750061,4.477222443
536,ztmo,8400740,Zoetermeer Oost,Zoetermeer Oost,Z'meer O,zoetermeer-oost,NL,stoptreinstation,52.04639053,4.492777824
527,zb,8400742,Zuidbroek,Zuidbroek,Zuidbroek,zuidbroek,NL,knooppuntstoptreinstation,53.15961228,6.8679142
531,zh,8400743,Zuidhorn,Zuidhorn,Zuidhorn,zuidhorn,NL,stoptreinstation,53.2486292,6.4062361
534,zp,8400744,Zutphen,Zutphen,Zutphen,zutphen,NL,knooppuntintercitystation,52.14527893,6.19416666
542,zww,8400745,Zwaagwesteinde,Zwaagwesteinde,Zwaagwest,zwaagwesteinde,NL,stoptreinstation,53.24817,6.03463
541,zwd,8400752,Zwijndrecht,Zwijndrecht,Zwijndrcht,zwijndrecht,NL,stoptreinstation,51.81499863,4.641666889
532,zl,8400747,Zwolle,Zwolle,Zwolle,zwolle,NL,knooppuntintercitystation,52.5047226,6.091944218
